date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Denver Nuggets @ Utah Jazz,Keyonte George,C4,1.5,2.52,1.02,68,OVER,OVER,7.8,MED,NORMAL,NA,80,0.435,0.25,190,119,190,0.43,0.57,0.99,0.4924,2.28,2.28,2.74,2.89,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Victor Wembanyama,C4,1.5,2.34,0.84,56,OVER,OVER,7.1,MED,NORMAL,NA,71,0.425,0.14,-128,104,-128,0.534,0.466,0.976,0.4726,2.32,2.32,2.41,2.36,2
2026-03-02,New York Knicks @ Toronto Raptors,Mikal Bridges,C4,1.5,2.28,0.78,52,OVER,OVER,6.9,MED,NORMAL,NA,71,0.595,0.13,-138,110,-138,0.549,0.451,0.905,0.387,2.36,2.36,1.8,2.17,2
2026-03-02,Houston Rockets @ Washington Wizards,Reed Sheppard,C1,2.5,1.12,-1.38,55.2,UNDER,UNDER,8.9,MED,NORMAL,NA,70,0.863,0.4,150,136,136,0.486,0.514,0.945,0.4523,0.94,0.94,1.92,1.38,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Draymond Green,C3,1.5,0.88,-0.62,41.3,UNDER,UNDER,6.1,MED,NORMAL,NA,70,0.535,0.34,-115,100,100,0.517,0.483,0.877,0.377,1.04,1.04,0.89,0.64,5
2026-03-02,Denver Nuggets @ Utah Jazz,Jamal Murray,C4,3.5,2.46,-1.04,29.7,UNDER,UNDER,7.6,MED,NORMAL,NA,70,0.483,0.32,129,-155,-155,0.418,0.582,0.984,0.4796,2.4,2.4,2.18,2.55,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Julian Champagnie,C2,2.5,1.88,-0.62,24.8,UNDER,UNDER,6,MED,NORMAL,NA,61,0.86,0.52,118,-154,-154,0.431,0.569,0.765,0.2016,1.77,1.77,2.42,2.04,2
2026-03-02,Boston Celtics @ Milwaukee Bucks,Kevin Porter Jr.,C2,1.5,0.96,-0.54,36,UNDER,PASS,5.7,HIGH,NORMAL,NA,100,0.244,0.27,148,185,185,0.535,0.465,0.964,0.4723,0.72,0.72,0.95,1.32,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Bobby Portis,C3,1.5,1.06,-0.44,29.3,UNDER,PASS,5.5,HIGH,NORMAL,NA,100,0.243,0.13,125,-137,-137,0.435,0.565,0.929,0.4159,1.26,1.26,1.24,0.76,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,De'Anthony Melton,C2,1.5,1.93,0.43,28.7,OVER,PASS,5.5,HIGH,NORMAL,NA,100,0.371,0.19,210,126,210,0.422,0.578,0.877,0.4092,2.05,2.05,1.98,1.74,5
