date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,agreement,role_flag,m8_last3,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-02,Houston Rockets @ Washington Wizards,Kyshawn George,C2,3.5,4.25,0.75,21.4,OVER,OVER,6.5,HIGH,NORMAL,NA,97,0.599,0.2,120,-150,120,0.431,0.569,0.895,0.4038,4.22,4.22,4.4,3.83,5
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Dominick Barlow,C1,4.5,2.82,-1.68,37.3,UNDER,STRONG UNDER,10.3,HIGH,NORMAL,NA,91,0.305,0.18,-127,-104,-104,0.523,0.477,1,0.5,2.88,2.88,2.46,2.13,2
2026-03-02,Houston Rockets @ Washington Wizards,Reed Sheppard,C1,3.5,1.57,-1.93,55.1,UNDER,STRONG UNDER,10.3,HIGH,NORMAL,NA,90,0.582,0.4,205,-130,-130,0.367,0.633,1,0.5,1.51,1.51,1.94,2.78,5
2026-03-02,Boston Celtics @ Milwaukee Bucks,Cam Thomas,C4,1.5,3.15,1.65,110,OVER,STRONG OVER,10.9,HIGH,NORMAL,NA,88,0.563,0.03,-110,-118,-110,0.492,0.508,0.998,0.4979,3.23,3.23,2.67,4.09,1
2026-03-02,Houston Rockets @ Washington Wizards,Josh Okogie,C1,3.5,2.63,-0.87,24.9,UNDER,UNDER,6.9,HIGH,NORMAL,NA,88,0.239,0.23,120,-160,-160,0.425,0.575,0.998,0.4974,2.68,2.68,2.35,2.78,1
2026-03-02,Boston Celtics @ Milwaukee Bucks,Jaylen Brown,C4,6.5,5.56,-0.94,14.5,UNDER,UNDER,7.7,HIGH,NORMAL,NA,87,0.681,0.13,185,114,114,0.429,0.571,0.916,0.4212,5.68,5.68,4.84,4.94,5
2026-03-02,New York Knicks @ Toronto Raptors,Jakob Poeltl,C3,7.5,9,1.5,20,OVER,OVER,9.4,HIGH,NORMAL,NA,86,0.539,0.09,108,-138,108,0.453,0.547,0.997,0.4971,9.1,9.1,8.44,8.08,2
2026-03-02,New York Knicks @ Toronto Raptors,Josh Hart,C3,7.5,8.84,1.34,17.9,OVER,OVER,8.9,HIGH,NORMAL,NA,83,0.787,0.26,102,-134,102,0.464,0.536,0.956,0.4564,8.92,8.92,8.4,8.27,2
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Draymond Green,C3,5.5,6.48,0.98,17.8,OVER,OVER,8.1,HIGH,NORMAL,NA,82,0.588,0.34,190,-136,190,0.374,0.626,0.952,0.4634,6.63,6.63,5.65,6.97,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Darius Garland,C4,2,2.84,0.84,42,OVER,OVER,7.8,HIGH,NORMAL,NA,81,0.64,0.37,155,125,155,0.469,0.531,0.905,0.4219,2.78,2.78,3.2,4.39,2
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,De'Aaron Fox,C4,3.5,4.53,1.03,29.4,OVER,OVER,8,HIGH,NORMAL,NA,81,0.625,0.41,123,-162,123,0.42,0.58,0.95,0.4547,4.66,4.66,3.82,4.56,2
2026-03-02,San Antonio Spurs @ Philadelphia 76ers,Julian Champagnie,C2,4.5,3.4,-1.1,24.4,UNDER,UNDER,7.7,HIGH,NORMAL,NA,81,0.59,0.52,-159,122,122,0.577,0.423,0.969,0.4718,3.34,3.34,3.75,3.78,2
2026-03-02,Boston Celtics @ Milwaukee Bucks,Baylor Scheierman,C1,4.5,2.04,-2.46,54.7,UNDER,UNDER,12.1,MED,NORMAL,NA,80,0.979,0.27,180,-114,-114,0.401,0.599,0.994,0.4936,1.93,1.93,2.65,2.78,5
2026-03-02,Los Angeles Clippers @ Golden State Warriors,Brandin Podziemski,C2,6.5,5.43,-1.07,16.5,UNDER,UNDER,8.6,HIGH,NORMAL,NA,80,0.486,0.56,170,-132,-132,0.394,0.606,0.986,0.4838,5.44,5.44,5.39,4.29,5
2026-03-02,Denver Nuggets @ Utah Jazz,Christian Braun,C2,5.5,4.59,-0.91,16.5,UNDER,UNDER,7.5,HIGH,NORMAL,NA,80,0.747,0.5,190,-130,-130,0.379,0.621,0.888,0.3712,4.43,4.43,5.48,4.75,5
2026-03-02,Houston Rockets @ Washington Wizards,Clint Capela,C3,5.5,9.41,3.91,71.1,OVER,OVER,16.5,MED,NORMAL,NA,74,1.252,0.03,-105,-118,-105,0.486,0.514,0.999,0.499,9.73,9.73,7.56,8.29,3
2026-03-02,Boston Celtics @ Milwaukee Bucks,Jericho Sims,C1,6.5,3.68,-2.82,43.4,UNDER,UNDER,12.9,MED,NORMAL,NA,71,1.015,0.19,-125,100,100,0.526,0.474,0.997,0.497,3.51,3.51,4.66,3.42,2
2026-03-02,Houston Rockets @ Washington Wizards,Dorian Finney-Smith,C2,2.5,4.25,1.75,70,OVER,STRONG OVER,10.6,HIGH,NORMAL,NA,68,0.724,0.64,-155,115,-155,0.567,0.433,0.992,0.4898,4.34,4.34,3.78,3.79,1
