date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),Miles Bridges,C1,5.5,4.9,-0.6,10.9,UNDER,UNDER,6.9,0.8,HIGH,NORMAL,8|5|6|2|5|4|6,62,0.626,0.59,-108,-116,-116,-120.5,1.5,0.492,0.508,0.831,0.3175,4.96,4.96,4.59,3.33,2,reb,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Stephon Castle,C1,4.5,5.58,1.08,24,OVER,OVER,7,0.6,MED,NORMAL,1|7|3|10|8|7|4,60,0.809,0.63,145,105,145,118,-138,0.456,0.544,0.909,0.4231,5.48,5.48,6.17,4.38,6,reb,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Brandon Ingram,C1,5.5,4.61,-0.89,16.2,UNDER,UNDER,8,0.8,HIGH,NORMAL,5|5|4|6|6|1|7,57,0.58,0.82,122,-162,-162,-407.5,320,0.421,0.579,0.938,0.4188,4.68,4.68,4.23,3.14,1,reb,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Ausar Thompson,C1,6.5,5.56,-0.94,14.5,UNDER,UNDER,8.4,0.8,MED,NORMAL,5|4|4|6|7|7|9,57,1.138,0.44,180,115,115,118,-144,0.434,0.566,0.796,0.3093,5.6,5.6,5.31,3.71,6,reb,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Jalen Duren,C1,11.5,10.35,-1.15,10,UNDER,UNDER,9.6,0.8,LOW,NORMAL,6|11|14|10|13|9|14,45,1.908,0.15,190,100,100,118,-144,0.408,0.592,0.727,0.227,10.28,10.28,10.76,5.73,6,reb,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Scottie Barnes,C1,7.5,5.95,-1.55,20.7,UNDER,UNDER,10.6,0.8,MED,NORMAL,7|8|6|5|1|5|3,44,1.282,0.71,120,-160,-160,-407.5,320,0.425,0.575,0.887,0.3531,6.04,6.04,5.42,3.35,1,reb,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Kel'el Ware,C1,7.5,8.5,1,13.3,OVER,OVER,8.4,0.6,LOW,NORMAL,1|7|11|8|3|6|2,40,1.949,0.4,160,-123,160,-2400,1100,0.411,0.589,0.696,0.253,8.68,8.68,7.51,4.54,5,reb,NA,NA,NA
2026-04-04,Los Angeles Lakers (-260) @ Dallas Mavericks (+212),LeBron James,C1,7.5,6.21,-1.29,17.2,UNDER,UNDER,9.7,0.8,MED,NORMAL,6|9|9|6|10|5|6,39,1.01,0.84,114,-152,-152,212.5,-260,0.437,0.563,0.899,0.3727,6.12,6.12,6.69,4.84,1,reb,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Jaylen Brown,C1,6.5,7.16,0.66,10.2,OVER,OVER,6.1,0.4,MED,NORMAL,6|6|7|8|10|3|3,38,1.01,0.31,124,-166,124,-407.5,320,0.417,0.583,0.743,0.2679,7.28,7.28,6.49,4.23,1,reb,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Bam Adebayo,C1,11.5,10.42,-1.08,9.4,UNDER,UNDER,9.4,0.8,LOW,NORMAL,21|3|10|16|12|16|10,34,1.925,0.53,145,-115,-115,-2400,1100,0.433,0.567,0.713,0.1915,10.4,10.4,10.53,6.13,6,reb,NA,NA,NA
